epoch,method,mean_dstab_core,mean_dstab_boundary,mean_dstab_background,topk_core_ratio,topk_boundary_ratio,topk_background_ratio,d_str,d_sty,d_sty_minus_d_str
50,full_saa,0.104038858254041,0.12011790865738141,0.14174802588150565,0.10578308293887631,0.013788845441448858,0.8870137888454415,0.3082083875099115,0.26763626221006953,-0.040572125299841943
50,wo_cgsd,0.11334922380878457,0.1396254644778214,0.15532732708791716,0.11175138917472731,0.010907594155175962,0.8816628935995061,nan,nan,nan
100,full_saa,0.0396472394266831,0.032092582547154865,0.035778721934596525,0.01481786375797489,0.007203128215682239,0.9808602593126157,0.28149874917173806,0.20202059819635038,-0.07947815097538768
100,wo_cgsd,0.017652405787625218,0.022172974748536946,0.03764042989309646,0.09405227413047952,0.01481786375797489,0.8979213830006173,nan,nan,nan
150,full_saa,0.0359656108526646,0.028859858570228283,0.02727363600634632,0.003498662276188516,0.0016464293064416546,0.9954723194072854,0.2541060758902963,0.13385793487582587,-0.12024814101447046
150,wo_cgsd,0.022958730052258552,0.026266779427073502,0.04100482685870565,0.10351924264251904,0.019962955340605062,0.8866021815188311,nan,nan,nan
200,full_saa,0.036260162480175495,0.029521149641368538,0.02222268276773723,0.002469643959662482,0.0010290183165260341,0.9967071413871167,0.2463149206828227,0.11197034869573813,-0.13434457198708458
200,wo_cgsd,0.008906753199490984,0.011789603479280087,0.01916091008095351,0.06976744186046512,0.016464293064416546,0.9211771969541057,nan,nan,nan
250,full_saa,0.03470081430194633,0.028475163858628978,0.02363053430695977,0.002881251286272896,0.0010290183165260341,0.9962955340605062,0.25855889362571516,0.13180686151031898,-0.12675203211539618
250,wo_cgsd,0.007701837337143453,0.012192277214489877,0.014542570345894953,0.0753241407697057,0.016670096727721753,0.9156204980448651,nan,nan,nan
300,full_saa,0.03257930740281673,0.02596128294366951,0.021699545389881968,0.0016464293064416546,0.001234821979831241,0.9975303560403376,0.26148272035396203,0.13548463266507715,-0.12599808768888487
300,wo_cgsd,0.00585928276892186,0.00924176846716651,0.010641209915099023,0.08005762502572546,0.0181107223708582,0.9102696027989299,nan,nan,nan
