group_index,mean_iter,D_struct,D_style,Separation_Ratio
1,50.5,0.14611864840611816,0.7914158949255943,5.416254868190446
2,150.5,0.017981085050851105,0.9838968706130982,54.718406628217394
3,250.5,0.01246797848958522,1.0440580505132675,83.73909322946453
4,350.5,0.010517677939496935,1.0507835406064987,99.9063241513855
5,450.5,0.010972900111228227,1.093336752653122,99.63963447894697
6,550.5,0.010942618013359606,1.1410392665863036,104.27470121375183
7,650.5,0.009794718036428094,1.1613618373870849,118.570095368427
8,750.5,0.008978908997960389,1.2168030136823653,135.517762657038
9,850.5,0.008565512993372977,1.2119230258464813,141.48850301191518
10,950.5,0.0067205505119636655,1.220780701637268,181.648643660612
11,1050.5,0.006477351954672485,1.2536615055799485,193.54507504025028
12,1150.5,0.006718148037325591,1.2580085009336472,187.25497285777513
13,1250.5,0.007002620070707053,1.233140006661415,176.09669427202877
14,1350.5,0.00613996883155778,1.2379381465911865,201.61928575853216
15,1450.5,0.006217902977950871,1.2152923768758774,195.45020671491932
16,1550.5,0.006094056949950755,1.2386953151226043,203.2625052031327
17,1650.5,0.0062155368062667546,1.2581700247526169,202.42306332309835
18,1750.5,0.005894214531872421,1.2210401141643523,207.15873777147473
19,1850.5,0.006297430163249374,1.2714404475688934,201.89797991075335
20,1950.5,0.006390290171839297,1.268617694377899,198.52239492104445
21,2050.5,0.0064300175989046695,1.3001387465000152,202.19800405234477
22,2150.5,0.006432084392290562,1.3235094791650772,205.76648886736194
23,2250.5,0.007377837346866727,1.2673137283325195,171.77283138973195
24,2350.5,0.006721191979013383,1.2469825518131257,185.5296947936941
25,2450.5,0.006385387671180069,1.352789956331253,211.8568061057421
26,2550.5,0.006539213443174958,1.3562650686502458,207.40460705097803
27,2650.5,0.0063289851020090285,1.3377696013450622,211.37156527746572
28,2750.5,0.006464054202660918,1.387862560749054,214.7043279950319
29,2850.5,0.008041681232862174,1.4297225844860078,177.7887938103718
30,2950.5,0.007227579215541482,1.4906085216999054,206.23868862035638
31,3050.5,0.006724464201834052,1.4415126132965088,214.36807845933092
32,3150.5,0.005628315727226436,1.4088314300775528,250.31092697113786
33,3250.5,0.006804764268454164,1.4565147477388383,214.04306598251256
34,3350.5,0.006330710866022855,1.491192044019699,235.548537927642
35,3450.5,0.0068502393364906315,1.4924184197187425,217.86337203359452
36,3550.5,0.0063092106045223775,1.5002551472187042,237.78771440379472
37,3650.5,0.005814363562967629,1.5129778718948363,260.21339281176483
38,3750.5,0.00520509199006483,1.5737644731998444,302.35036243357894
39,3850.5,0.006067193713970482,1.5367917746305466,253.294902739444
40,3950.5,0.006138811896089464,1.5567427366971969,253.58981952039838
41,4050.5,0.005209161441307515,1.6318824636936187,313.2710224803068
42,4150.5,0.004899727227166295,1.6133078730106354,329.2641621811366
43,4250.5,0.004710580294486135,1.6086254614591597,341.4912698610398
44,4350.5,0.005198647566139698,1.6349756860733031,314.4995924952538
45,4450.5,0.00505216667195782,1.6859600687026977,333.70964203620264
46,4550.5,0.004828850741032511,1.7058971643447876,353.27114527225547
47,4650.5,0.0048973680427297946,1.69007997661829,345.09894108077486
48,4750.5,0.005092857023701072,1.7003293353319169,333.86485989501824
49,4850.5,0.0046087366226129235,1.6997413623332978,368.80772615996653
50,4950.5,0.004665556319523602,1.6872788053750991,361.64501580750994
51,5050.5,0.004386406186968088,1.728734747171402,394.1109720293805
52,5150.5,0.004332984779030085,1.7334439253807068,400.0567768440118
53,5250.5,0.0043461123900488015,1.7695119869709015,407.1472977895204
54,5350.5,0.004546561723109335,1.7229651594161988,378.95919482776526
55,5450.5,0.004304448731709272,1.7489477294683455,406.31072069166987
56,5550.5,0.004580204668454826,1.7636060285568238,385.0487709022143
57,5650.5,0.004442343516275287,1.7602698677778243,396.2471382182414
