group_index,mean_iter,D_struct,D_style,Separation_Ratio
1,98.5,0.03165892847813666,0.9034680819511414,28.53753553913588
2,198.5,0.014712306465953588,1.0463041585683823,71.11756744695374
3,298.5,0.01181830965448171,1.0442461317777634,88.35825754482511
4,398.5,0.010417069047689438,1.0698388069868088,102.70045970555485
5,498.5,0.010906221261247993,1.1029131013154982,101.12687645221385
6,598.5,0.010829472793266176,1.1717878931760788,108.20349554502289
7,698.5,0.009448687266558408,1.1832521015405655,125.22912610698481
8,798.5,0.008860527188517153,1.2116863572597503,136.75089122474876
9,898.5,0.0075119681563228366,1.2114099436998367,161.26377346826976
10,998.5,0.006497094794176519,1.2477756643295288,192.05102947514936
11,1098.5,0.006157205146737396,1.2415894609689713,201.64789298078506
12,1198.5,0.007640593745745719,1.2583511298894883,164.69263055162847
13,1298.5,0.005950877834111452,1.2252379280328751,205.89161855977406
14,1398.5,0.006332902275025845,1.2423364251852036,196.1714249673755
15,1498.5,0.006428531990386546,1.2007732307910919,186.78780236432584
16,1598.5,0.005988324997015297,1.2703438091278076,212.13639680495024
17,1698.5,0.006228838877286762,1.2181128776073455,195.55987014697746
18,1798.5,0.0057218738226220015,1.2632129484415053,220.76871666762528
19,1898.5,0.006367344975005835,1.2543725442886353,197.0005676159881
20,1998.5,0.006475293417461217,1.2936989879608154,199.78970938601023
21,2098.5,0.006408637000713497,1.3170241671800613,205.50736638067792
22,2198.5,0.006827109721489251,1.2960327345132827,189.83594654622073
23,2298.5,0.0071557074459269645,1.2300165939331054,171.89283998814557
24,2398.5,0.006935434602200985,1.3212158173322677,190.50196391345634
25,2498.5,0.00627562755253166,1.365429599881172,217.57623643040748
26,2598.5,0.006255058611277491,1.3217567485570907,211.30971228261944
27,2698.5,0.0065265934495255355,1.3605512869358063,208.46237977499834
28,2798.5,0.007239971621893346,1.4309435379505158,197.64463677965884
29,2898.5,0.007665399219840765,1.4492874038219452,189.0684974874768
30,2998.5,0.006914820873644203,1.4753735554218292,213.36365015740273
31,3098.5,0.006322211602237076,1.4268164980411528,225.6827722609855
32,3198.5,0.005763237420469522,1.4220874732732773,246.75107097127236
33,3298.5,0.006996296010911464,1.4757161021232605,210.92789535245146
34,3398.5,0.006761939660646021,1.4977149367332458,221.49158332985246
35,3498.5,0.006448116910178214,1.4817771220207214,229.7996212949487
36,3598.5,0.005982052031904459,1.519542590379715,254.0165217738391
37,3698.5,0.005591655755415559,1.5386293959617614,275.16476543176606
38,3798.5,0.00525630269665271,1.5706494963169098,298.81203553911854
39,3898.5,0.006594734527170658,1.5195491588115693,230.41819930263486
40,3998.5,0.005291237281635403,1.5946676683425904,301.3784054049569
41,4098.5,0.005247558462433517,1.6282490003108978,310.28637586479636
42,4198.5,0.004864756043534726,1.6009879606962203,329.0986547696232
43,4298.5,0.004780583013780415,1.639382585287094,342.9245243344187
44,4398.5,0.00509819267783314,1.655843629837036,324.7896826535758
45,4498.5,0.005022156275808811,1.6952554440498353,337.5546230350203
46,4598.5,0.00480750038754195,1.6950487902760505,352.58348992205055
47,4698.5,0.005036097664851695,1.6912106734514236,335.8170210011241
48,4798.5,0.004778653241228312,1.7157050478458404,359.0345168170574
49,4898.5,0.00463142319349572,1.6842584800720215,363.65816146011906
50,4998.5,0.004637075425125659,1.702847390770912,367.2236404238266
51,5098.5,0.004317668646108359,1.7402818942070006,403.0596153272231
52,5198.5,0.004304596225265414,1.760645455121994,409.0142891092056
53,5298.5,0.00459813168272376,1.7556599283218384,381.8194500004736
54,5398.5,0.004340364588424564,1.7179286915063858,395.8019420922715
55,5498.5,0.004406649703159928,1.7721128928661347,402.14425715591057
56,5598.5,0.0045248345541767775,1.7473537749052048,386.1687962942868
57,5674.5,0.004485983155273761,1.7521154582500458,390.57470611390664
