candidate,variant,epoch,task,K,distance,stat,smooth,D_style,D_struct,d_stab,Separation_Ratio,D_style_raw,D_struct_raw,d_stab_raw,Separation_Ratio_raw,unstable_ratio,tau,Dice,num_samples
K8_l2_mean_smooth1,w_CGSD,50,bSSFP_to_LGE,8,l2,mean,1,0.45835271972445113,0.5272561660705457,0.1687292961559638,0.8901553300300877,0.45835271972445113,0.5272561660705457,0.1687292961559638,0.8901553300300877,0.8987866044044495,0.0352371484041214,0.7088162836307799,731
K8_l2_mean_smooth1,w/o_CGSD,50,bSSFP_to_LGE,8,l2,mean,1,0.40730870355937454,0.39698677159794377,0.18988079423565488,1.0389135070604703,0.40730870355937454,0.39698677159794377,0.18988079423565488,1.0389135070604703,0.9092068672180176,0.0352371484041214,0.6889962082758703,731
K8_l2_mean_smooth1,w_CGSD,75,bSSFP_to_LGE,8,l2,mean,1,0.5142896205315345,0.5219988872773104,0.06521902380653061,1.0078449600744739,0.5142896205315345,0.5219988872773104,0.06521902380653061,1.0078449600744739,0.5010924935340881,0.0352371484041214,0.7275184333910829,731
K8_l2_mean_smooth1,w/o_CGSD,75,bSSFP_to_LGE,8,l2,mean,1,0.45545566136996046,0.5017825639108019,0.08889720256161407,0.9225800623893956,0.45545566136996046,0.5017825639108019,0.08889720256161407,0.9225800623893956,0.6132984757423401,0.0352371484041214,0.7141014082714178,731
K8_l2_mean_smooth1,w_CGSD,100,bSSFP_to_LGE,8,l2,mean,1,0.4437424286742736,0.5074824950169015,0.05190095404571016,0.880769797761734,0.4437424286742736,0.5074824950169015,0.05190095404571016,0.880769797761734,0.3721998929977417,0.0352371484041214,0.7330175997344852,731
K8_l2_mean_smooth1,w/o_CGSD,100,bSSFP_to_LGE,8,l2,mean,1,0.42555274740605037,0.5023523521740335,0.05929752082430003,0.8656849147057532,0.42555274740605037,0.5023523521740335,0.05929752082430003,0.8656849147057532,0.45374369621276855,0.0352371484041214,0.7344598972799018,731
K8_l2_mean_smooth1,w_CGSD,125,bSSFP_to_LGE,8,l2,mean,1,0.3749002008516198,0.44358118200232066,0.04352989848777498,0.8579707760001254,0.3749002008516198,0.44358118200232066,0.04352989848777498,0.8579707760001254,0.3115357458591461,0.0352371484041214,0.7386839365248635,731
K8_l2_mean_smooth1,w/o_CGSD,125,bSSFP_to_LGE,8,l2,mean,1,0.34497938099036474,0.3645983654106364,0.06979958802938613,0.9545274627862081,0.34497938099036474,0.3645983654106364,0.06979958802938613,0.9545274627862081,0.44284728169441223,0.0352371484041214,0.7132895532305769,731
K8_l2_mean_smooth1,w_CGSD,150,bSSFP_to_LGE,8,l2,mean,1,0.3647235938083655,0.4299593432749561,0.038327553517780735,0.870800251691394,0.3647235938083655,0.4299593432749561,0.038327553517780735,0.870800251691394,0.27257299423217773,0.0352371484041214,0.7506977837747745,731
K8_l2_mean_smooth1,w/o_CGSD,150,bSSFP_to_LGE,8,l2,mean,1,0.3184739319151333,0.3207523905216806,0.054738162081502235,1.0039657328088634,0.3184739319151333,0.3207523905216806,0.054738162081502235,1.0039657328088634,0.3919846713542938,0.0352371484041214,0.7341079795892644,731
