task,source,target,backbone,checkpoint_file,checkpoint,expname,target_bg_mean,target_bg_std,target_lv_mean,target_lv_std,target_myo_mean,target_myo_std,target_rv_mean,target_rv_std,target_overall_by_sample,target_overall_by_domain
LGE->bSSFP,LGE,bSSFP,nnunet,900_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/nnunet_LGE_to_bSSFP/snapshots/900_net_Seg.pth,04:05.852] name:900_net_Seg,0.9942016879717509,0.0018052203759591112,0.8284385720888774,0.03369124570511736,0.9220968074268765,0.029895830818235054,0.8977595382266574,0.040381834314244386,0.8827649725808038,0.8827650547027588
LGE->bSSFP,LGE,bSSFP,nnunet,best_ep100_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/nnunet_LGE_to_bSSFP/snapshots/best_ep100_net_Seg.pth,04:36.241] name:best_ep100_net_Seg,0.9898827777968513,0.0037606417506558026,0.7620798601044549,0.04913568226078757,0.8826657586627537,0.05563572334505062,0.8477045257886251,0.06281678280228067,0.8308167148519445,0.8308166861534119
LGE->bSSFP,LGE,bSSFP,nnunet,best_ep700_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/nnunet_LGE_to_bSSFP/snapshots/best_ep700_net_Seg.pth,05:06.970] name:best_ep700_net_Seg,0.9935946782430013,0.002356059763856138,0.8219390326076084,0.03328480486901206,0.907535703976949,0.042366026840652826,0.8894167370266385,0.04726383016640679,0.8729638245370653,0.8729637861251831
bSSFP->LGE,bSSFP,LGE,swinunet,100_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/100_net_Seg.pth,05:37.859] name:100_net_Seg,0.9921247005462647,0.0026092055739678,0.7581138067775303,0.06827580327598544,0.8878055532773336,0.05178874778333753,0.8104464034239451,0.09550033429237886,0.8187885878262696,0.8187885284423828
bSSFP->LGE,bSSFP,LGE,swinunet,200_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/200_net_Seg.pth,06:13.931] name:200_net_Seg,0.9929625233014424,0.002175226128320608,0.7773959332042271,0.06790900540820896,0.8958426157633463,0.0495781942800272,0.8455722133318583,0.05857228444152317,0.8396035874331439,0.8396035432815552
bSSFP->LGE,bSSFP,LGE,swinunet,300_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/300_net_Seg.pth,06:48.769] name:300_net_Seg,0.9921402944458856,0.0035170466316239196,0.7590920620494419,0.07549083260788547,0.8913436161147223,0.04904055148626273,0.831005863348643,0.08053333831022695,0.827147180504269,0.8271471858024597
bSSFP->LGE,bSSFP,LGE,swinunet,400_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/400_net_Seg.pth,07:25.474] name:400_net_Seg,0.9922718445460001,0.0034038355984887182,0.7547878477308485,0.07586951172805499,0.890207130379147,0.054011557630616616,0.8392130917972989,0.08489099929630715,0.8280693566357648,0.8280693888664246
bSSFP->LGE,bSSFP,LGE,swinunet,500_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/500_net_Seg.pth,08:00.836] name:500_net_Seg,0.991789804564582,0.003917337180211917,0.7526835620403289,0.07738177502209052,0.8894799643092686,0.05445818438485698,0.8059544887807634,0.11427054351031787,0.816039338376787,0.8160393834114075
bSSFP->LGE,bSSFP,LGE,swinunet,best_ep100_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/best_ep100_net_Seg.pth,08:35.926] name:best_ep100_net_Seg,0.9921247005462647,0.0026092055739678,0.7581138067775303,0.06827580327598544,0.8878055532773336,0.05178874778333753,0.8104464034239451,0.09550033429237886,0.8187885878262696,0.8187885284423828
bSSFP->LGE,bSSFP,LGE,swinunet,best_ep300_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/best_ep300_net_Seg.pth,09:11.527] name:best_ep300_net_Seg,0.9921402944458856,0.0035170466316239196,0.7590920620494419,0.07549083260788547,0.8913436161147223,0.04904055148626273,0.831005863348643,0.08053333831022695,0.827147180504269,0.8271471858024597
bSSFP->LGE,bSSFP,LGE,swinunet,best_ep400_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/best_ep400_net_Seg.pth,09:47.509] name:best_ep400_net_Seg,0.9922718445460001,0.0034038355984887182,0.7547878477308485,0.07586951172805499,0.890207130379147,0.054011557630616616,0.8392130917972989,0.08489099929630715,0.8280693566357648,0.8280693888664246
bSSFP->LGE,bSSFP,LGE,swinunet,best_ep500_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_bSSFP_to_LGE/snapshots/best_ep500_net_Seg.pth,10:16.025] name:best_ep500_net_Seg,0.991789804564582,0.003917337180211917,0.7526835620403289,0.07738177502209052,0.8894799643092686,0.05445818438485698,0.8059544887807634,0.11427054351031787,0.816039338376787,0.8160393834114075
LGE->bSSFP,LGE,bSSFP,swinunet,100_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/100_net_Seg.pth,10:45.279] name:100_net_Seg,0.9874164276652866,0.004616255638158105,0.7174858609835307,0.05359730811908272,0.8725611077414619,0.05764349934364028,0.8052762018309699,0.08266960608498358,0.7984410568519875,0.7984410524368286
LGE->bSSFP,LGE,bSSFP,swinunet,200_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/200_net_Seg.pth,11:17.173] name:200_net_Seg,0.9892687042554219,0.004868419414035886,0.7637014587720236,0.04991376550381793,0.8772367901272244,0.060395573840547195,0.8213951336012946,0.08232588876280308,0.8207777941668475,0.8207778334617615
LGE->bSSFP,LGE,bSSFP,swinunet,300_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/300_net_Seg.pth,11:48.529] name:300_net_Seg,0.9922877603107029,0.0026352110344105297,0.7958829270468818,0.03529766942650416,0.9147584067450629,0.024701448449714454,0.8598873641755845,0.058964591648525515,0.8568428993225098,0.8568428754806519
LGE->bSSFP,LGE,bSSFP,swinunet,400_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/400_net_Seg.pth,12:21.739] name:400_net_Seg,0.9916161855061849,0.0029758877846677192,0.7864447381761339,0.045259803815256225,0.9066880888409085,0.032975290804344214,0.8522816896438599,0.061560099348646403,0.848471505553634,0.8484715223312378
LGE->bSSFP,LGE,bSSFP,swinunet,500_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/500_net_Seg.pth,12:54.334] name:500_net_Seg,0.9918115112516616,0.0027442774894046473,0.7850780606269836,0.04187863679625001,0.9007929603258769,0.02785406898940496,0.8476152976353963,0.06292373831132769,0.844495439529419,0.8444954752922058
LGE->bSSFP,LGE,bSSFP,swinunet,600_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/600_net_Seg.pth,13:26.914] name:600_net_Seg,0.992605279551612,0.002337767819760578,0.7932865381240845,0.04128520825323067,0.9125956071747674,0.02670933367427514,0.8709504167238872,0.045392442657121335,0.858944187340913,0.8589441776275635
LGE->bSSFP,LGE,bSSFP,swinunet,700_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/700_net_Seg.pth,13:59.436] name:700_net_Seg,0.992655180560218,0.0023786338052709057,0.8008297112252977,0.040785814745025455,0.9122675233417087,0.025225378067213367,0.8631934695773654,0.052271414344150315,0.8587635680481239,0.8587636351585388
LGE->bSSFP,LGE,bSSFP,swinunet,800_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/800_net_Seg.pth,14:30.577] name:800_net_Seg,0.9925790773497687,0.002270237259867338,0.7971039175987243,0.04119016843986859,0.9114243944485982,0.02742821112098614,0.8682326343324449,0.04867336408024587,0.8589203154599225,0.8589202761650085
LGE->bSSFP,LGE,bSSFP,swinunet,900_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/900_net_Seg.pth,15:06.173] name:900_net_Seg,0.9931520210372077,0.002062910792581208,0.806734475824568,0.03792478221682555,0.916197865539127,0.023732876172182414,0.8740234865082634,0.0431534890075259,0.8656519426239861,0.8656519055366516
LGE->bSSFP,LGE,bSSFP,swinunet,best_ep100_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/best_ep100_net_Seg.pth,15:39.273] name:best_ep100_net_Seg,0.9874164276652866,0.004616255638158105,0.7174858609835307,0.05359730811908272,0.8725611077414619,0.05764349934364028,0.8052762018309699,0.08266960608498358,0.7984410568519875,0.7984410524368286
LGE->bSSFP,LGE,bSSFP,swinunet,best_ep200_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/best_ep200_net_Seg.pth,16:11.398] name:best_ep200_net_Seg,0.9892687042554219,0.004868419414035886,0.7637014587720236,0.04991376550381793,0.8772367901272244,0.060395573840547195,0.8213951336012946,0.08232588876280308,0.8207777941668475,0.8207778334617615
LGE->bSSFP,LGE,bSSFP,swinunet,best_ep400_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/best_ep400_net_Seg.pth,16:44.619] name:best_ep400_net_Seg,0.9916161855061849,0.0029758877846677192,0.7864447381761339,0.045259803815256225,0.9066880888409085,0.032975290804344214,0.8522816896438599,0.061560099348646403,0.848471505553634,0.8484715223312378
LGE->bSSFP,LGE,bSSFP,swinunet,best_ep500_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/best_ep500_net_Seg.pth,17:16.319] name:best_ep500_net_Seg,0.9918115112516616,0.0027442774894046473,0.7850780606269836,0.04187863679625001,0.9007929603258769,0.02785406898940496,0.8476152976353963,0.06292373831132769,0.844495439529419,0.8444954752922058
LGE->bSSFP,LGE,bSSFP,swinunet,best_ep700_net_Seg.pth,/root/TTA/DCON/results_backbone_ablation/swinunet_LGE_to_bSSFP/snapshots/best_ep700_net_Seg.pth,17:47.547] name:best_ep700_net_Seg,0.992655180560218,0.0023786338052709057,0.8008297112252977,0.040785814745025455,0.9122675233417087,0.025225378067213367,0.8631934695773654,0.052271414344150315,0.8587635680481239,0.8587636351585388
